ASIN,Nom,Prix Actuel,Prix Initial,Évaluation moyenne,total_ratings,Catégorie produit,Couleur,Marque,Système d'exploitation,Taille de l'écran,Capacité de stockage de la mémoire,Vitesse du processeur,Mémoire maximale,Taille du disque dur,5_star_percentage,4_star_percentage,3_star_percentage,2_star_percentage,1_star_percentage
B0D99XJGV6,"Ordinateur Portable 14 pouces, Celeron N4120, 16Go DDR4 RAM 256Go SSD PC Portable, 1920x1080 FHD IPS, 2.4G+5G WiFi/Mini HDMI/USB3.0/BT, Soutien Extension SD, inclut Souris/Tapis de Souris/AZERTY Film",265.99,279.99,4.2,183.0,Ordinateur,Noir,LENOVO,Windows,"14,1 Pouces",,1.1 GHz,16 Go,256 Go,67.0,12.0,4.0,2.0,14.0
B0CV1FFSYL,"MSI Modern 15 B12MO-869FR : Intel Core i3 1215U - 16GB LPDDR4 - SSD 512GB - Intel UHD Graphics - 15,6' Full HD - Windows 11 Famille - Clavier retroeclairé",426.0,449.0,3.8,52.0,Ordinateur,Noir,MSI,Windows,"15,6 Pouces",,3.3 GHz,16 Go,512 Go,53.0,12.0,10.0,11.0,14.0
B0DC715C6Y,Dell Inspiron 14 5440 - Ordinateur Portable 14.0'' FullHD 60 Hz Anti-reflet Intel Core i5-1334U 16 Go RAM 512 Go SSD Graphiques Intel Iris XE Windows 11 Home - Clavier rétroéclairé AZERTY - Ice Blue,599.0,599.0,4.0,73.0,Ordinateur,Bleu,DELL,Windows,14 Pouces,,1.3 GHz,32 Go,512 Go,61.0,16.0,5.0,0.0,19.0
B0DFPNXC4P,"AOC 2024 Gaming Ordinateur Portable Boîtier en Métal et Rétroéclairé, AMD Ryzen 7 5825U(8C/16T, jusqu'à 4,50 GHz,15W) PC Portable Gamer 16,10 Pouces,16Go DDR4 512Go M.2 SSD,WiFi 6,BT5.2,HDMI,Type C",529.99,469.99,4.3,146.0,Ordinateur,Noir,AOC,,,,,,,66.0,15.0,6.0,4.0,9.0
B0DCW8M9S4,"HP 17-cp2001sf 17.3"" 1600 x 900 Pixels AMD Ryzen 3-7320U 8Go 256Go SSD Windows 11 Home",429.0,499.0,4.1,66.0,Ordinateur,Gris,HP,Windows,"17,3 Pouces",,4.1 GHz,8 Go,256 Go,58.0,22.0,5.0,5.0,9.0
B0DLJ5YF1R,"Apple MacBook Pro Ordinateur Portable avec Puce M4 Pro, CPU 14 cœurs, GPU 20 cœurs : Conçu pour Apple Intelligence, écran Liquid Retina XDR 14,2″, 24 Go de mémoire unifiée, 1To SSD ; Noir sidéral",2749.0,2899.0,5.0,14.0,Ordinateur,Gris,LENOVO,,,,,,,100.0,0.0,0.0,0.0,0.0
B0B8YY25KV,"Acer Aspire Go 14 AG14-31P-33YH, Ordinateur Portable 14'' WUXGA IPS, PC Portable (Intel Core i3-N305, RAM 8 Go, SSD 512 Go, Intel UHD Graphics, Windows 11), Laptop Gris, Clavier AZERTY (Français)",399.0,399.0,4.3,1.0,Ordinateur,Gris,ACER,Windows,14,,2.2,16 Go,512 Go,65.0,18.0,7.0,4.0,7.0
B0DD4CQPKW,"Asus Zenbook UM5606WA-RK087W 16 OLED 16 Pouces 3K (2880 x 1800) PC Portable (Processeur AMD Ryzen AI 9 365 5.0GHz, 24GB LPDDR5X, 1TB SSD NVMe, AMD Radeon 880M Graphics) - Clavier AZERTY",1799.99,1799.99,4.4,9.0,Ordinateur,Noir,SUMTAB,,,,,,,84.0,0.0,0.0,0.0,16.0
B0D8YBB5RW,"Ordinateur Portable 14 Pouces 4 cœurs Celeron N5095 (jusqu'à 2,9 GHz),8+256GB SSD Soutien Extension 1TB ,PC Portable Win11 Avec 5G WIFI 1920x1200 BT4.2 Souris sans Fil&AZERTY Clavier Couverture-Bleu",269.49,269.49,4.3,139.0,Ordinateur,Noir,TOSHIBA,Windows,14 Pouces,,2 GHz,8 Go,256 Go,72.0,11.0,4.0,5.0,8.0
B0CMXV94P6,"HUAWEI MateBook D16 Ordinateur Portable Intel® Core™ i5-12450H, 16 Go RAM, 512 Go SSD, Écran 16'' FullView, Non Tactile, Windows 11 Home, Clavier AZERTY, Gris",599.99,599.99,4.2,28.0,Ordinateur,Gris,HUAWEI,Windows,16 Pouces,,4.4 GHz,16 Go,512 Go,67.0,10.0,12.0,0.0,11.0
B0CDCMN8SN,"Lenovo ThinkPad T490 | i5-8265U | 14"" | 16 Go | 256 Go | HD | Webcam | Win 11 Pro (reconditionné)",324.9,324.9,3.8,31.0,Ordinateur,Noir,LENOVO,Windows,14 Pouces,,6 GHz,32 Go,256 Go,55.0,14.0,10.0,0.0,21.0
B0DLGN27FY,"FUNYET Ordinateur Portable 15.6 Pouces,Ordinateur Portable Windows 11 Pro,N4000 CPU 1920 × 1200p IPS écran fhd Ordinateur Portable 8GO 256GO SSD USB Bluetooth Mini HDMI WiFi",209.99,209.99,4.2,13.0,Ordinateur,Noir,FUNYET,Windows,"15,6 Pouces",,6 GHz,,256 Go,66.0,17.0,0.0,0.0,17.0
B09TJJQ3LY,ASUS Vivobook S 15; Copilot+ PC S5507QA-MA012W Portable 15.6 3K OLED 120Hz Pc Portable Qualcomm Snapdragon X Plus 3.4Ghz 16GB LPDDR5X 512GB SSD Qualcomm Adreno GPU Windows 11 Home Clavier AZERTY RGB,1199.99,1199.99,4.1,150.0,Ordinateur,Noir,SUMTAB,Windows,15 Pouces,,3.4 GHz,16 Go,512 Go,62.0,15.0,5.0,5.0,13.0
B0D42RB92K,"ACER Swift Go 16 SFG16-72-561M, Ordinateur Ultra Portable Copilot 16'' WQXGA IPS 60Hz (Intel Core Ultra 5 125U, RAM 16 Go, SSD 512 Go, Intel Graphics, Windows 11) Laptop Gris, Finition Métal",749.0,899.0,3.7,4.0,Ordinateur,Gris,ACER,Windows,16 Pouces,,1.3 GHz,16 Go,512 Go,46.0,27.0,0.0,0.0,27.0
B0CX7YPMZZ,"ACEMAGIC 2025 Ordinateur Portable in-tel Quad-Core N150,PC Portable,15,6 Pouces FHD16Go DDR4 512Go SSD,Boîtier Métallique,Wi-FI,BT5.0,USB 3,2,Type C,HDMI,Gris",359.99,359.99,4.4,243.0,Ordinateur,Noir,ACER,Windows,"15,6 Pouces",,3.4 GHz,16 Go,512 Go,71.0,14.0,5.0,3.0,7.0
B0BSLW8111,"Apple Late 2019 MacBook Pro with 2.4GHz Intel Core i9 (16 inch, 32GB RAM, 512GB SSD) Space Gray (Reconditionné)",820.0,820.0,4.4,56.0,Ordinateur,Noir,LENOVO,iOS,16 Pouces,,2.4 GHz,32 Go,512 Go,69.0,15.0,7.0,3.0,5.0
B0CV3Z9M4S,"HUAWEI MateBook D 14 Ordinateurs, 14 Pouces 2.8K FullView Eye Comfort Display, Intel Core i5-12450H de 12e génération, 16 GO +512 GO, Antenne Metaline, Windows 11 Home, 56 Wh Batterie, Gris",599.99,599.99,4.2,28.0,Ordinateur,Noir,HUAWEI,,,,,,,67.0,10.0,12.0,0.0,11.0
B0DD4CJM4N,"Asus Vivobook 14 E410MA-EK2527W 14 Pouces FHD PC Portable (Processeur Intel Celeron N4020 2.8 Ghz, 8 Go DDR4, 128 Go eMMC, Windows 11 Home) - Clavier AZERTY",329.99,329.99,4.1,150.0,Ordinateur,Noir,SUMTAB,Windows,14 Pouces,,1.1 GHz,8 Go,128 Go,62.0,15.0,5.0,5.0,13.0
B0CXZD2DFJ,"HP Envy x360 (A18QZEA) Laptop | 14,0'' Full-HD Display OLED | AMD Ryzen 78840HS | 16 GB RAM | 512 GB SSD | Windows 11 Home | Clavier AZERTY Français",899.0,999.0,4.4,140.0,Ordinateur,Gris,HP,Windows,14 Pouces,,3.3 GHz,16 Go,512 Go,68.0,17.0,3.0,6.0,6.0
B0DPHK84VZ,"ACEMAGIC 2025 Ordinateur Portable15.6 Pouces in-tel N150 PC Portable 16Go Ram DDR4 512Go SSD Étendre à 2 to Boîtier Métallique,Ordinateur Bureau BT5.0,USB WiFi,Type C,HDMI",339.99,339.99,4.2,28.0,Ordinateur,Noir,ACER,Microsoft,"15,6 Pouces",,6 GHz,512 Go,512 Go,66.0,13.0,8.0,0.0,13.0
B0BHZ6BQZ4,AOCWEI Ordinateur PC Portable 14 Pouces Win 11 Pas Cher 256Go Celeron N4020 Up to 2.8Ghz Expansible 1To Stockage 1080p 5G WiFi Bluetooth 4.2 HDMI inclut Souris sans Fil&AZERTY Clavier Couverture-Rouge,229.49,229.49,4.0,448.0,Ordinateur,Rose,AOC,Windows,"14,1 Pouces",,1.1 GHz,6 Go,256 Go,62.0,10.0,8.0,4.0,17.0
B0D3KV5LQ8,"NIAKUN Ordinateur Portable, 16"" Pc Portable RAM 16GB+SSD 1TB, N100 Processor Laptop, Up to 3.4 GHz Full HD 1920x1200P, Notebook à Clavier rétroéclairé, 6000 mAh",439.99,379.99,4.5,138.0,Ordinateur,Gris,NIPOGI,Windows,16 Pouces,,3.4 GHz,16 Go,1 To,77.0,11.0,4.0,3.0,5.0
B0DCW5J85Y,"HP 17-cn2005sf 17.3"" 1920 x 1080 Pixels Intel Core i7-1255U 16Go 512Go SSD Windows 11 Home",699.0,779.0,4.4,140.0,Ordinateur,Noir,HP,,,,,,,68.0,17.0,3.0,6.0,6.0
B0D9YS5LPM,"Lenovo IdeaPad 1 14ALC7 - Ordinateur Portable 14'' FHD (AMD Ryzen 5 5500U, RAM 8Go, SSD 256Go, AMD Radeon Graphics, Windows 11 Home) Clavier AZERTY Français - Gris",399.99,449.99,4.2,76.0,Ordinateur,Noir,LENOVO,Windows,14 Pouces,,4 GHz,16 Go,256,59.0,25.0,5.0,1.0,10.0
B0CSYPSDKT,"Ordinateur Portable Gaming 16 Pouces, Win 11 4 cœurs Celeron N5095 (jusqu'à 2,9 GHz) 12 + 512 Go Soutien Extension 1TB PC Portable, Laptop avec 1920x1200 Écran 2K 2.4+5G WiFi 2,5"" HDD Mini HDMI-Bleu",297.49,297.49,4.1,131.0,Ordinateur,Bleu,AOC,Windows,16 Pouces,,2 GHz,12 Go,512 Go,62.0,16.0,8.0,3.0,11.0
B0CCXX2KYZ,"HP EliteBook 840 G6 14"" 1920 x 1080 Full HD Intel Core i5 8365U Disque dur SSD 512 Go Mémoire 16 Go Windows 11 Pro UMTS LTE Webcam Ordinateur portable (reconditionné)",349.0,349.0,3.8,156.0,Ordinateur,Noir,LENOVO,Windows,14 Pouces,,,32 Go,512 Go,56.0,15.0,6.0,4.0,19.0
B0CCXX2KYZ,"HP EliteBook 840 G6 14"" 1920 x 1080 Full HD Intel Core i5 8365U Disque dur SSD 512 Go Mémoire 16 Go Windows 11 Pro UMTS LTE Webcam Ordinateur portable (reconditionné)",349.0,349.0,3.8,156.0,Ordinateur,Noir,LENOVO,Windows,14 Pouces,,,32 Go,512 Go,56.0,15.0,6.0,4.0,19.0
B0D7W4D4BX,"MSI Thin 15 B12UCX-2412FR : Intel Core i5 12450H - 16GB DDR4 - SSD 512GB - Nvidia RTX2050 4GB - 15,6' Full HD 144Hz - Windows 11 Famille",799.0,899.0,4.2,7.0,Ordinateur,Gris,MSI,Windows,"15,6 Pouces",,3.3 GHz,64 Go,512 Go,81.0,0.0,0.0,0.0,19.0
B0D7W4D4BX,"MSI Thin 15 B12UCX-2412FR : Intel Core i5 12450H - 16GB DDR4 - SSD 512GB - Nvidia RTX2050 4GB - 15,6' Full HD 144Hz - Windows 11 Famille",799.0,899.0,4.2,7.0,Ordinateur,Gris,MSI,,,,,,,81.0,0.0,0.0,0.0,19.0
B0CCXX2KYZ,"HP EliteBook 840 G6 14"" 1920 x 1080 Full HD Intel Core i5 8365U Disque dur SSD 512 Go Mémoire 16 Go Windows 11 Pro UMTS LTE Webcam Ordinateur portable (reconditionné)",349.0,349.0,3.8,156.0,Ordinateur,Noir,LENOVO,Windows,14 Pouces,,,32 Go,512 Go,56.0,15.0,6.0,4.0,19.0
B0CCXX2KYZ,"HP EliteBook 840 G6 14"" 1920 x 1080 Full HD Intel Core i5 8365U Disque dur SSD 512 Go Mémoire 16 Go Windows 11 Pro UMTS LTE Webcam Ordinateur portable (reconditionné)",349.0,349.0,3.8,156.0,Ordinateur,Noir,LENOVO,Windows,14 Pouces,,,32 Go,512 Go,56.0,15.0,6.0,4.0,19.0
B0D7W4D4BX,"MSI Thin 15 B12UCX-2412FR : Intel Core i5 12450H - 16GB DDR4 - SSD 512GB - Nvidia RTX2050 4GB - 15,6' Full HD 144Hz - Windows 11 Famille",799.0,899.0,4.2,7.0,Ordinateur,Gris,MSI,Windows,"15,6 Pouces",,3.3 GHz,64 Go,512 Go,81.0,0.0,0.0,0.0,19.0
B0D7W4D4BX,"MSI Thin 15 B12UCX-2412FR : Intel Core i5 12450H - 16GB DDR4 - SSD 512GB - Nvidia RTX2050 4GB - 15,6' Full HD 144Hz - Windows 11 Famille",799.0,899.0,4.2,7.0,Ordinateur,Gris,MSI,,,,,,,81.0,0.0,0.0,0.0,19.0
B0CV4CCC82,"Lenovo LOQ 15IAX9 - Ordinateur Portable Gaming 15.6'' FHD 144Hz (Intel Core i5-12450HX, RAM 16Go, SSD 512Go, NVIDIA GeForce RTX 4050-6GB, Windows 11 Home) Clavier AZERTY Français - Gris Lunaire",1099.99,1099.99,4.0,103.0,Ordinateur,Noir,LENOVO,Windows,"15,6 Pouces",,4.4 GHz,32 Go,512,61.0,14.0,6.0,6.0,14.0
B0DD4F1FWF,"Asus Zenbook 14 UX3405MA-QD225W OLED 14 Pouces FHD OLED 60Hz PC Portable (Processeur Intel Core Ultra 7 4.8 GHz, 32GB LPDDR5X, 1TB SSD NVMe, Intel Arc Graphics, Windows 11 Home) – Clavier AZERTY",1389.99,1389.99,4.3,6.0,Ordinateur,Noir,SUMTAB,,,,,,,64.0,0.0,36.0,0.0,0.0
B0C43V1NYF,"Lenovo LOQ 15IRH8 - Ordinateur Portable 15.6'' FHD 144Hz (Intel Core i7-13620H, RAM 16Go, SSD 512Go, NVIDIA RTX 4060 8Go, Sans Système d'Exploitation) Clavier rétroéclairé AZERTY - Gris",1049.99,1289.99,4.0,103.0,Ordinateur,Gris,LENOVO,no,15.6,,4.9 GHz,16 Go,512,61.0,14.0,6.0,6.0,14.0
B0D8WB1TTR,"Ordinateur Portable 16 Pouces Core i3-1000NG4 (jusqu'à 3,2 GHz),16+512Go SSD Soutien Extension 1TB ,PC Portable Win11 Avec Double WIFI 1920x1200 BT4.2 Souris sans Fil&AZERTY Clavier Couverture-Argent",359.99,359.99,4.3,54.0,Ordinateur,Noir,BVATE,Windows,16 Pouces,,3.2 GHz,16 Go,512 Go,72.0,6.0,11.0,0.0,11.0
B0CSKHX2L2,"Lenovo IdeaPad Gaming 3 15ACH6 - Ordinateur Portable 15.6'' FHD (AMD Ryzen 5 5500H, RAM 16Go, SSD 512Go, NVIDIA GeForce RTX 2050-4GB, Windows 11 Home) - Ombre Noire",799.99,799.99,4.0,103.0,Ordinateur,Noir,LENOVO,Windows,"15,6 Pouces",,4.2 GHz,16 Go,512,61.0,14.0,6.0,6.0,14.0
B081FT3BXS,"Apple MacBook Pro 13"" Retina Core i5 2,3 GHz - SSD 256 Go RAM 8 Go AZERTY (Reconditionné)",439.0,439.0,3.5,114.0,Ordinateur,Gris,LENOVO,iOS,13 Pouces,,2.3 GHz,,256 Go,52.0,5.0,9.0,11.0,24.0
B0CW1WQ25C,"Dell Inspiron 15 3520 Ordinateur Portable, Processeur Intel Core i3-1215U, Écran 15.6"" FHD 120HZ, 8Go RAM, 256Go SSD, Graphique Intel UHD, Windows 11 Home, Carbon Black",449.0,449.0,4.0,73.0,Ordinateur,Noir,DELL,Windows,"15,6 Pouces",,4.4 GHz,8 Go,256 Go,61.0,16.0,5.0,0.0,19.0
B0DBZBVDCQ,"NIAKUN Ordinateur Portable, N100 Processor Pc Portable, 16 Pouces RAM 16GB+SSD 1TB Laptop, Jusqu'à 3,4 GHz Full HD 1920x1200P, Notebook à Clavier rétroéclairé, 6000 mAh",439.99,379.99,4.4,209.0,Ordinateur,Gris,NIPOGI,Windows,16,,3.4 GHz,16 Go,1 To,78.0,8.0,3.0,3.0,8.0
B0DLJ7VL1Z,"Apple MacBook Pro Ordinateur Portable avec Puce M4 Max, CPU 14 cœurs et GPU 20 cœurs : Conçu pour Apple Intelligence, Écran Liquid Retina XDR 16,2″, 24 Go de mémoire unifiée; 512Go SSD ; Noir sidéral",2765.0,2899.0,3.9,4.0,Ordinateur,Noir,LENOVO,,,,,,,72.0,0.0,0.0,0.0,28.0
B0DLHGT3S2,"Apple Portable MacBook Air 15 Pouces avec Puce M3 : écran Liquid Retina 15,3 Pouces, 16 Go de mémoire unifiée, 256 Go de Stockage SSD, Clavier rétroéclairé, caméra FaceTime HD 1080p. Lumière stellaire",1308.53,1308.53,4.6,92.0,Ordinateur,Noir,LENOVO,,,,,,,86.0,3.0,2.0,2.0,7.0
B0D1KCFS5W,"Lenovo LOQ 15AHP9 - Ordinateur Portable Gaming 15.6'' FHD 144Hz (AMD Ryzen 7 8845HS, RAM 16Go, SSD 512Go, NVIDIA GeForce RTX 4050-6GB, Windows 11 Home) Clavier AZERTY Français - Gris Lunaire",899.99,1007.67,1.0,1.0,Ordinateur,Noir,LENOVO,Windows,"15,6 Pouces",,5.1 GHz,32 Go,512 Go,0.0,0.0,0.0,0.0,100.0
B0CWNPRVDP,"ACEMAGIC Gaming Ordinateur Portable avec Boîtier en Métal et Rétroéclairage,AMD Ryzen 7 5825U(8C/16T,4,50 GHz) pour PC Portables Gamer,16,1 Pouces FHD,16Go DDR4,512Go M.2 SSD,WiFi 6,BT5.2,HDMI,Type C",489.99,489.99,4.2,28.0,Ordinateur,Gris,ACER,Windows,"16,1 Pouces",,4.3 GHz,16 Go,512 Go,66.0,13.0,8.0,0.0,13.0
B0DLHYWDNQ,"Apple MacBook Pro Ordinateur Portable avec Puce M4 Max, CPU 14 cœurs et GPU 32 cœurs : Conçu pour Apple Intelligence, Écran Liquid Retina XDR 16,2″, 36 Go de mémoire unifiée; 1To SSD ; Noir sidéral",3907.0,4099.0,3.9,4.0,Ordinateur,Noir,LENOVO,,,,,,,72.0,0.0,0.0,0.0,28.0
B0DDC7BWJH,"Asus TUF Gaming F15-TUF507ZI4-LP019W 15.6 FHD 144Hz PC Portable (Processeur Intel Core i7-12700H 4.7Ghz, 16GB DDR4 3200MHz, 512GB SSD, NVIDIA GeForce RTX 4070 TGP140W, Windows 11 Home) Clavier AZERTY",1279.0,1279.0,3.8,15.0,Ordinateur,Noir,SUMTAB,Windows,15 Pouces,,2.3 GHz,32 Go,512 Go,42.0,27.0,9.0,13.0,10.0
B0DD4CJZSD,"Asus Vivobook 14 S1404VA-NK665W 14 Pouces FHD PC Portable (Processeur Intel Core i5-1335U 4.6 GHz, 16GB DDR4, 1TB SSD NVMe, Intel Iris X Graphics, Windows 11 Home) - Clavier AZERTY",699.99,799.99,0.0,0.0,Ordinateur,Noir,SUMTAB,Windows,14 Pouces,,1.3 GHz,16 Go,1 To,0.0,0.0,0.0,0.0,0.0
B0BDDHDZD4,"ACER Chromebook 515 CB515-2H-30U9, Ordinateur Portable 15,6'' Full HD IPS, PC Portable (Intel Core i3-1215U, RAM 8Go, 128Go UFS, Intel UHD Graphics, Chrome OS) Laptop Gris, Clavier AZERTY",349.0,349.0,4.2,332.0,Ordinateur,Gris,ACER,Chrome OS,"15,6 Pouces",,1.2 GHz,16 Go,128 Go,66.0,14.0,6.0,4.0,11.0
B0CT95LGHB,"Asus Chromebook Plus CX3402CBA-MW0197 14.0 Pouces FHD Tactile PC Portable (Intel Core i3-1215U Processeur, 8GB RAM, 256GB Stockage UFS, Chrome OS) – Clavier AZERTY",449.99,449.99,4.1,117.0,Ordinateur,Noir,SUMTAB,Chrome OS,14 Pouces,,1.2 GHz,8 Go,256 Go,55.0,20.0,11.0,5.0,10.0
B0CG1TXFFG,"hp PC Portable 15s-fq5025nf - 15.6"" - Intel Core i5-1235U - 16 Go RAM - 512 Go SSD - Win 11 Home - Anglais/Français",636.98,636.98,3.3,3.0,Ordinateur,Noir,HP,Windows,15.6,,3,8 Go,512 Go,36.0,29.0,0.0,0.0,34.0
B0BSLJSRJ8,"MSI Katana 17 B13VFK-1413FR : Intel Core i7 13620H - 32GB DDR5 - SSD 1TB - Nvidia RTX4060 8GB - 17,3' Full HD 144Hz - Windows 11 Professionnel",1599.0,1649.0,3.6,13.0,Ordinateur,Noir,MSI,,,,,,,50.0,17.0,0.0,10.0,23.0
B0D1KBWWBN,"Lenovo LOQ 15AHP9 - Ordinateur Portable Gaming 15.6'' FHD 144Hz (AMD Ryzen 7 8845HS, RAM 16Go, SSD 512Go, NVIDIA GeForce RTX 4060-8GB, Windows 11 Home) Clavier AZERTY Français - Gris Lunaire",1099.99,1161.94,0.0,0.0,Ordinateur,Gris,LENOVO,Windows,"15,6 Pouces",,5.1 GHz,32 Go,512 Go,0.0,0.0,0.0,0.0,0.0
B0D2HVXDV5,"Dell G16 7630 Ordinateur Portable 16'' QHD+ écran 240 Hz Nvidia G-Sync, Intel Core i9-13900HX, Nvidia GeForce RTX 4070, 32 Go RAM, 1 to SSD, Windows 11 Home, Clavier rétroéclairé RGB AZERTY - Gris",1899.0,1899.0,4.3,54.0,Ordinateur,Noir,DELL,Windows,16 Pouces,,3.9 GHz,32 Go,1 To,62.0,23.0,3.0,3.0,9.0
